,temp,out_in,date,year,month,weekday,weekday_tag,min,max,unique_id
0,29,In,2018-08-12,2018,8,6,weekend,29,42,0
1,41,Out,2018-08-12,2018,8,6,weekend,29,42,1
2,31,In,2018-08-12,2018,8,6,weekend,29,42,2
3,29,In,2018-08-12,2018,8,6,weekend,29,42,3
4,29,In,2018-08-12,2018,8,6,weekend,29,42,4
5,42,Out,2018-08-12,2018,8,6,weekend,29,42,5
6,29,In,2018-08-12,2018,8,6,weekend,29,42,6
7,29,In,2018-08-12,2018,8,6,weekend,29,42,7
8,41,Out,2018-08-12,2018,8,6,weekend,29,42,8
9,29,In,2018-08-12,2018,8,6,weekend,29,42,9
10,42,Out,2018-08-12,2018,8,6,weekend,29,42,10
11,29,In,2018-08-12,2018,8,6,weekend,29,42,11
12,41,Out,2018-08-12,2018,8,6,weekend,29,42,12
13,29,In,2018-08-12,2018,8,6,weekend,29,42,13
14,29,In,2018-08-12,2018,8,6,weekend,29,42,14
15,29,In,2018-08-12,2018,8,6,weekend,29,42,15
16,42,Out,2018-08-12,2018,8,6,weekend,29,42,16
17,29,In,2018-08-12,2018,8,6,weekend,29,42,17
18,41,Out,2018-08-12,2018,8,6,weekend,29,42,18
19,29,In,2018-08-12,2018,8,6,weekend,29,42,19
20,42,Out,2018-08-12,2018,8,6,weekend,29,42,20
21,30,In,2018-08-12,2018,8,6,weekend,29,42,21
22,29,In,2018-08-12,2018,8,6,weekend,29,42,22
23,42,Out,2018-08-12,2018,8,6,weekend,29,42,23
24,30,In,2018-08-12,2018,8,6,weekend,29,42,24
25,30,In,2018-08-12,2018,8,6,weekend,29,42,25
26,29,In,2018-08-12,2018,8,6,weekend,29,42,26
27,29,In,2018-08-12,2018,8,6,weekend,29,42,27
28,41,Out,2018-08-12,2018,8,6,weekend,29,42,28
29,30,In,2018-08-12,2018,8,6,weekend,29,42,29
30,42,Out,2018-08-12,2018,8,6,weekend,29,42,30
31,29,In,2018-08-12,2018,8,6,weekend,29,42,31
32,31,In,2018-08-12,2018,8,6,weekend,29,42,32
33,29,In,2018-08-12,2018,8,6,weekend,29,42,33
34,29,In,2018-08-12,2018,8,6,weekend,29,42,34
35,29,In,2018-08-12,2018,8,6,weekend,29,42,35
36,29,In,2018-08-12,2018,8,6,weekend,29,42,36
37,41,Out,2018-08-12,2018,8,6,weekend,29,42,37
38,30,In,2018-08-12,2018,8,6,weekend,29,42,38
39,29,In,2018-08-12,2018,8,6,weekend,29,42,39
40,29,In,2018-08-12,2018,8,6,weekend,29,42,40
41,29,In,2018-08-12,2018,8,6,weekend,29,42,41
42,29,In,2018-08-12,2018,8,6,weekend,29,42,42
43,41,Out,2018-08-12,2018,8,6,weekend,29,42,43
44,29,In,2018-08-12,2018,8,6,weekend,29,42,44
45,41,Out,2018-08-12,2018,8,6,weekend,29,42,45
46,29,In,2018-08-12,2018,8,6,weekend,29,42,46
47,29,In,2018-08-12,2018,8,6,weekend,29,42,47
48,41,Out,2018-08-12,2018,8,6,weekend,29,42,48
49,29,In,2018-08-12,2018,8,6,weekend,29,42,49
50,41,Out,2018-08-12,2018,8,6,weekend,29,42,50
51,29,In,2018-08-12,2018,8,6,weekend,29,42,51
52,41,Out,2018-08-12,2018,8,6,weekend,29,42,52
53,29,In,2018-08-12,2018,8,6,weekend,29,42,53
54,40,Out,2018-08-12,2018,8,6,weekend,29,42,54
55,29,In,2018-08-12,2018,8,6,weekend,29,42,55
56,29,In,2018-08-12,2018,8,6,weekend,29,42,56
57,30,In,2018-08-12,2018,8,6,weekend,29,42,57
58,29,In,2018-08-12,2018,8,6,weekend,29,42,58
59,40,Out,2018-08-12,2018,8,6,weekend,29,42,59
60,30,In,2018-08-12,2018,8,6,weekend,29,42,60
61,29,In,2018-08-12,2018,8,6,weekend,29,42,61
62,40,Out,2018-08-12,2018,8,6,weekend,29,42,62
63,29,In,2018-08-12,2018,8,6,weekend,29,42,63
64,29,In,2018-08-12,2018,8,6,weekend,29,42,64
65,40,Out,2018-08-12,2018,8,6,weekend,29,42,65
66,29,In,2018-08-12,2018,8,6,weekend,29,42,66
67,40,Out,2018-08-12,2018,8,6,weekend,29,42,67
68,29,In,2018-08-12,2018,8,6,weekend,29,42,68
69,41,Out,2018-08-12,2018,8,6,weekend,29,42,69
70,41,Out,2018-08-12,2018,8,6,weekend,29,42,70
71,29,In,2018-08-12,2018,8,6,weekend,29,42,71
72,29,In,2018-08-12,2018,8,6,weekend,29,42,72
73,29,In,2018-08-12,2018,8,6,weekend,29,42,73
74,29,In,2018-08-12,2018,8,6,weekend,29,42,74
75,29,In,2018-08-12,2018,8,6,weekend,29,42,75
76,40,Out,2018-08-12,2018,8,6,weekend,29,42,76
77,40,Out,2018-08-12,2018,8,6,weekend,29,42,77
78,29,In,2018-08-12,2018,8,6,weekend,29,42,78
79,29,In,2018-08-12,2018,8,6,weekend,29,42,79
80,41,Out,2018-08-12,2018,8,6,weekend,29,42,80
81,41,Out,2018-08-12,2018,8,6,weekend,29,42,81
82,29,In,2018-08-12,2018,8,6,weekend,29,42,82
83,29,In,2018-08-12,2018,8,6,weekend,29,42,83
84,40,Out,2018-08-12,2018,8,6,weekend,29,42,84
85,40,Out,2018-08-12,2018,8,6,weekend,29,42,85
86,29,In,2018-08-12,2018,8,6,weekend,29,42,86
87,29,In,2018-08-12,2018,8,6,weekend,29,42,87
88,29,In,2018-08-12,2018,8,6,weekend,29,42,88
89,29,In,2018-08-12,2018,8,6,weekend,29,42,89
90,29,In,2018-08-12,2018,8,6,weekend,29,42,90
91,29,In,2018-08-12,2018,8,6,weekend,29,42,91
92,29,In,2018-08-12,2018,8,6,weekend,29,42,92
93,29,In,2018-08-12,2018,8,6,weekend,29,42,93
94,29,In,2018-08-12,2018,8,6,weekend,29,42,94
95,39,Out,2018-08-12,2018,8,6,weekend,29,42,95
96,29,In,2018-08-12,2018,8,6,weekend,29,42,96
97,29,In,2018-08-12,2018,8,6,weekend,29,42,97
98,29,In,2018-08-12,2018,8,6,weekend,29,42,98
99,29,In,2018-08-12,2018,8,6,weekend,29,42,99
100,39,Out,2018-08-12,2018,8,6,weekend,29,42,100
101,38,Out,2018-08-12,2018,8,6,weekend,29,42,101
102,39,Out,2018-08-12,2018,8,6,weekend,29,42,102
103,29,In,2018-08-12,2018,8,6,weekend,29,42,103
104,40,Out,2018-08-12,2018,8,6,weekend,29,42,104
105,29,In,2018-08-12,2018,8,6,weekend,29,42,105
106,29,In,2018-08-12,2018,8,6,weekend,29,42,106
107,39,Out,2018-08-12,2018,8,6,weekend,29,42,107
108,39,Out,2018-08-12,2018,8,6,weekend,29,42,108
109,29,In,2018-08-12,2018,8,6,weekend,29,42,109
110,29,In,2018-08-12,2018,8,6,weekend,29,42,110
111,39,Out,2018-08-12,2018,8,6,weekend,29,42,111
112,29,In,2018-08-12,2018,8,6,weekend,29,42,112
113,39,Out,2018-08-12,2018,8,6,weekend,29,42,113
114,29,In,2018-08-12,2018,8,6,weekend,29,42,114
115,39,Out,2018-08-12,2018,8,6,weekend,29,42,115
116,29,In,2018-08-12,2018,8,6,weekend,29,42,116
117,39,Out,2018-08-12,2018,8,6,weekend,29,42,117
118,39,Out,2018-08-12,2018,8,6,weekend,29,42,118
119,29,In,2018-08-12,2018,8,6,weekend,29,42,119
120,29,In,2018-08-12,2018,8,6,weekend,29,42,120
121,29,In,2018-08-12,2018,8,6,weekend,29,42,121
122,29,In,2018-08-12,2018,8,6,weekend,29,42,122
123,29,In,2018-08-12,2018,8,6,weekend,29,42,123
124,29,In,2018-08-12,2018,8,6,weekend,29,42,124
125,39,Out,2018-08-12,2018,8,6,weekend,29,42,125
126,39,Out,2018-08-12,2018,8,6,weekend,29,42,126
127,29,In,2018-08-12,2018,8,6,weekend,29,42,127
128,29,In,2018-08-12,2018,8,6,weekend,29,42,128
