,noted_date,temp,out/in,date,year,month,weekday,weekday_tag
0,08-12-2018 09:30,29,In,2018-08-12,2018,8,6,weekend
2,08-12-2018 09:29,41,Out,2018-08-12,2018,8,6,weekend
4,08-12-2018 09:29,31,In,2018-08-12,2018,8,6,weekend
6,08-12-2018 09:28,29,In,2018-08-12,2018,8,6,weekend
8,08-12-2018 09:26,29,In,2018-08-12,2018,8,6,weekend
10,08-12-2018 09:25,42,Out,2018-08-12,2018,8,6,weekend
12,08-12-2018 09:24,29,In,2018-08-12,2018,8,6,weekend
14,08-12-2018 09:22,29,In,2018-08-12,2018,8,6,weekend
16,08-12-2018 09:21,41,Out,2018-08-12,2018,8,6,weekend
18,08-12-2018 09:20,29,In,2018-08-12,2018,8,6,weekend
20,08-12-2018 09:19,42,Out,2018-08-12,2018,8,6,weekend
22,08-12-2018 09:18,29,In,2018-08-12,2018,8,6,weekend
24,08-12-2018 09:17,41,Out,2018-08-12,2018,8,6,weekend
26,08-12-2018 09:16,29,In,2018-08-12,2018,8,6,weekend
28,08-12-2018 09:14,29,In,2018-08-12,2018,8,6,weekend
30,08-12-2018 09:12,29,In,2018-08-12,2018,8,6,weekend
32,08-12-2018 09:09,42,Out,2018-08-12,2018,8,6,weekend
34,08-12-2018 09:08,29,In,2018-08-12,2018,8,6,weekend
36,08-12-2018 09:07,41,Out,2018-08-12,2018,8,6,weekend
38,08-12-2018 09:05,29,In,2018-08-12,2018,8,6,weekend
39,08-12-2018 09:04,42,Out,2018-08-12,2018,8,6,weekend
40,08-12-2018 09:04,30,In,2018-08-12,2018,8,6,weekend
41,08-12-2018 09:04,29,In,2018-08-12,2018,8,6,weekend
42,08-12-2018 09:03,42,Out,2018-08-12,2018,8,6,weekend
43,08-12-2018 09:03,30,In,2018-08-12,2018,8,6,weekend
44,08-12-2018 09:01,30,In,2018-08-12,2018,8,6,weekend
45,08-12-2018 09:00,29,In,2018-08-12,2018,8,6,weekend
47,08-12-2018 08:58,29,In,2018-08-12,2018,8,6,weekend
49,08-12-2018 08:57,41,Out,2018-08-12,2018,8,6,weekend
50,08-12-2018 08:55,30,In,2018-08-12,2018,8,6,weekend
52,08-12-2018 08:53,42,Out,2018-08-12,2018,8,6,weekend
54,08-12-2018 08:52,29,In,2018-08-12,2018,8,6,weekend
56,08-12-2018 08:51,31,In,2018-08-12,2018,8,6,weekend
57,08-12-2018 08:50,29,In,2018-08-12,2018,8,6,weekend
59,08-12-2018 08:48,29,In,2018-08-12,2018,8,6,weekend
60,08-12-2018 08:46,29,In,2018-08-12,2018,8,6,weekend
62,08-12-2018 08:42,29,In,2018-08-12,2018,8,6,weekend
64,08-12-2018 08:41,41,Out,2018-08-12,2018,8,6,weekend
65,08-12-2018 08:41,30,In,2018-08-12,2018,8,6,weekend
67,08-12-2018 08:40,29,In,2018-08-12,2018,8,6,weekend
69,08-12-2018 08:38,29,In,2018-08-12,2018,8,6,weekend
71,08-12-2018 08:36,29,In,2018-08-12,2018,8,6,weekend
73,08-12-2018 08:34,29,In,2018-08-12,2018,8,6,weekend
75,08-12-2018 08:33,41,Out,2018-08-12,2018,8,6,weekend
77,08-12-2018 08:32,29,In,2018-08-12,2018,8,6,weekend
79,08-12-2018 08:31,41,Out,2018-08-12,2018,8,6,weekend
81,08-12-2018 08:30,29,In,2018-08-12,2018,8,6,weekend
83,08-12-2018 08:28,29,In,2018-08-12,2018,8,6,weekend
85,08-12-2018 08:27,41,Out,2018-08-12,2018,8,6,weekend
87,08-12-2018 08:26,29,In,2018-08-12,2018,8,6,weekend
89,08-12-2018 08:25,41,Out,2018-08-12,2018,8,6,weekend
91,08-12-2018 08:24,29,In,2018-08-12,2018,8,6,weekend
93,08-12-2018 08:23,41,Out,2018-08-12,2018,8,6,weekend
95,08-12-2018 08:22,29,In,2018-08-12,2018,8,6,weekend
97,08-12-2018 08:21,40,Out,2018-08-12,2018,8,6,weekend
99,08-12-2018 08:20,29,In,2018-08-12,2018,8,6,weekend
101,08-12-2018 08:18,29,In,2018-08-12,2018,8,6,weekend
103,08-12-2018 08:17,30,In,2018-08-12,2018,8,6,weekend
105,08-12-2018 08:16,29,In,2018-08-12,2018,8,6,weekend
107,08-12-2018 08:15,40,Out,2018-08-12,2018,8,6,weekend
109,08-12-2018 08:15,30,In,2018-08-12,2018,8,6,weekend
111,08-12-2018 08:12,29,In,2018-08-12,2018,8,6,weekend
113,08-12-2018 08:11,40,Out,2018-08-12,2018,8,6,weekend
115,08-12-2018 08:10,29,In,2018-08-12,2018,8,6,weekend
117,08-12-2018 08:08,29,In,2018-08-12,2018,8,6,weekend
119,08-12-2018 08:07,40,Out,2018-08-12,2018,8,6,weekend
121,08-12-2018 08:06,29,In,2018-08-12,2018,8,6,weekend
123,08-12-2018 08:05,40,Out,2018-08-12,2018,8,6,weekend
125,08-12-2018 08:04,29,In,2018-08-12,2018,8,6,weekend
126,08-12-2018 08:04,41,Out,2018-08-12,2018,8,6,weekend
128,08-12-2018 08:03,41,Out,2018-08-12,2018,8,6,weekend
129,08-12-2018 08:03,29,In,2018-08-12,2018,8,6,weekend
130,08-12-2018 08:02,29,In,2018-08-12,2018,8,6,weekend
131,08-12-2018 08:01,29,In,2018-08-12,2018,8,6,weekend
132,08-12-2018 07:58,29,In,2018-08-12,2018,8,6,weekend
133,08-12-2018 07:56,29,In,2018-08-12,2018,8,6,weekend
134,08-12-2018 07:56,40,Out,2018-08-12,2018,8,6,weekend
136,08-12-2018 07:55,40,Out,2018-08-12,2018,8,6,weekend
137,08-12-2018 07:54,29,In,2018-08-12,2018,8,6,weekend
138,08-12-2018 07:52,29,In,2018-08-12,2018,8,6,weekend
140,08-12-2018 07:52,41,Out,2018-08-12,2018,8,6,weekend
141,08-12-2018 07:51,41,Out,2018-08-12,2018,8,6,weekend
142,08-12-2018 07:51,29,In,2018-08-12,2018,8,6,weekend
143,08-12-2018 07:50,29,In,2018-08-12,2018,8,6,weekend
144,08-12-2018 07:48,40,Out,2018-08-12,2018,8,6,weekend
145,08-12-2018 07:47,40,Out,2018-08-12,2018,8,6,weekend
146,08-12-2018 07:46,29,In,2018-08-12,2018,8,6,weekend
147,08-12-2018 07:44,29,In,2018-08-12,2018,8,6,weekend
149,08-12-2018 07:41,29,In,2018-08-12,2018,8,6,weekend
150,08-12-2018 07:34,29,In,2018-08-12,2018,8,6,weekend
151,08-12-2018 07:33,29,In,2018-08-12,2018,8,6,weekend
152,08-12-2018 07:31,29,In,2018-08-12,2018,8,6,weekend
153,08-12-2018 07:30,29,In,2018-08-12,2018,8,6,weekend
154,08-12-2018 07:28,29,In,2018-08-12,2018,8,6,weekend
155,08-12-2018 07:27,29,In,2018-08-12,2018,8,6,weekend
156,08-12-2018 07:27,39,Out,2018-08-12,2018,8,6,weekend
157,08-12-2018 07:25,29,In,2018-08-12,2018,8,6,weekend
158,08-12-2018 07:22,29,In,2018-08-12,2018,8,6,weekend
159,08-12-2018 07:18,29,In,2018-08-12,2018,8,6,weekend
160,08-12-2018 07:17,29,In,2018-08-12,2018,8,6,weekend
161,08-12-2018 07:17,39,Out,2018-08-12,2018,8,6,weekend
162,08-12-2018 07:15,38,Out,2018-08-12,2018,8,6,weekend
163,08-12-2018 07:08,39,Out,2018-08-12,2018,8,6,weekend
164,08-12-2018 07:06,29,In,2018-08-12,2018,8,6,weekend
165,08-12-2018 07:06,40,Out,2018-08-12,2018,8,6,weekend
166,08-12-2018 07:03,29,In,2018-08-12,2018,8,6,weekend
167,08-12-2018 06:57,29,In,2018-08-12,2018,8,6,weekend
168,08-12-2018 06:57,39,Out,2018-08-12,2018,8,6,weekend
169,08-12-2018 06:56,39,Out,2018-08-12,2018,8,6,weekend
170,08-12-2018 06:53,29,In,2018-08-12,2018,8,6,weekend
172,08-12-2018 06:52,29,In,2018-08-12,2018,8,6,weekend
173,08-12-2018 06:52,39,Out,2018-08-12,2018,8,6,weekend
174,08-12-2018 06:51,29,In,2018-08-12,2018,8,6,weekend
175,08-12-2018 06:51,39,Out,2018-08-12,2018,8,6,weekend
176,08-12-2018 06:50,29,In,2018-08-12,2018,8,6,weekend
177,08-12-2018 06:47,39,Out,2018-08-12,2018,8,6,weekend
178,08-12-2018 06:47,29,In,2018-08-12,2018,8,6,weekend
179,08-12-2018 06:44,39,Out,2018-08-12,2018,8,6,weekend
180,08-12-2018 06:43,39,Out,2018-08-12,2018,8,6,weekend
181,08-12-2018 06:42,29,In,2018-08-12,2018,8,6,weekend
182,08-12-2018 06:41,29,In,2018-08-12,2018,8,6,weekend
183,08-12-2018 06:39,29,In,2018-08-12,2018,8,6,weekend
185,08-12-2018 06:37,29,In,2018-08-12,2018,8,6,weekend
187,08-12-2018 06:35,29,In,2018-08-12,2018,8,6,weekend
188,08-12-2018 06:33,29,In,2018-08-12,2018,8,6,weekend
189,08-12-2018 06:32,39,Out,2018-08-12,2018,8,6,weekend
190,08-12-2018 06:31,39,Out,2018-08-12,2018,8,6,weekend
191,08-12-2018 06:30,29,In,2018-08-12,2018,8,6,weekend
192,08-12-2018 06:29,29,In,2018-08-12,2018,8,6,weekend
193,08-12-2018 06:25,29,In,2018-08-12,2018,8,6,weekend
194,08-12-2018 06:23,29,In,2018-08-12,2018,8,6,weekend
195,08-12-2018 06:22,29,In,2018-08-12,2018,8,6,weekend
196,08-12-2018 06:21,29,In,2018-08-12,2018,8,6,weekend
198,08-12-2018 06:19,29,In,2018-08-12,2018,8,6,weekend
199,08-12-2018 06:17,29,In,2018-08-12,2018,8,6,weekend
200,08-12-2018 06:16,29,In,2018-08-12,2018,8,6,weekend
201,08-12-2018 06:15,29,In,2018-08-12,2018,8,6,weekend
202,08-12-2018 06:14,39,Out,2018-08-12,2018,8,6,weekend
203,08-12-2018 06:14,29,In,2018-08-12,2018,8,6,weekend
204,08-12-2018 06:11,29,In,2018-08-12,2018,8,6,weekend
206,08-12-2018 06:09,39,Out,2018-08-12,2018,8,6,weekend
207,08-12-2018 06:09,29,In,2018-08-12,2018,8,6,weekend
208,08-12-2018 06:07,29,In,2018-08-12,2018,8,6,weekend
209,08-12-2018 06:06,29,In,2018-08-12,2018,8,6,weekend
210,08-12-2018 06:05,29,In,2018-08-12,2018,8,6,weekend
211,08-12-2018 06:02,38,Out,2018-08-12,2018,8,6,weekend
212,08-12-2018 06:01,39,Out,2018-08-12,2018,8,6,weekend
213,08-12-2018 06:01,29,In,2018-08-12,2018,8,6,weekend
214,08-12-2018 05:59,39,Out,2018-08-12,2018,8,6,weekend
215,08-12-2018 05:59,29,In,2018-08-12,2018,8,6,weekend
218,08-12-2018 05:57,38,Out,2018-08-12,2018,8,6,weekend
219,08-12-2018 05:55,39,Out,2018-08-12,2018,8,6,weekend
220,08-12-2018 05:55,29,In,2018-08-12,2018,8,6,weekend
221,08-12-2018 05:43,30,In,2018-08-12,2018,8,6,weekend
223,08-12-2018 05:41,29,In,2018-08-12,2018,8,6,weekend
224,08-12-2018 05:40,29,In,2018-08-12,2018,8,6,weekend
225,08-12-2018 05:39,38,Out,2018-08-12,2018,8,6,weekend
226,08-12-2018 05:37,30,In,2018-08-12,2018,8,6,weekend
227,08-12-2018 05:35,29,In,2018-08-12,2018,8,6,weekend
228,08-12-2018 05:35,30,In,2018-08-12,2018,8,6,weekend
229,08-12-2018 05:33,30,In,2018-08-12,2018,8,6,weekend
230,08-12-2018 05:31,29,In,2018-08-12,2018,8,6,weekend
231,08-12-2018 05:29,29,In,2018-08-12,2018,8,6,weekend
233,08-12-2018 05:25,38,Out,2018-08-12,2018,8,6,weekend
235,08-12-2018 05:25,29,In,2018-08-12,2018,8,6,weekend
237,08-12-2018 05:23,38,Out,2018-08-12,2018,8,6,weekend
239,08-12-2018 05:23,29,In,2018-08-12,2018,8,6,weekend
